age_from,age_to,vegetables_from,vegetables_to,protein_from,protein_to,dairy_from,dairy_to,fruits_from,fruits_to,grains_from,grains_to
1,1,150,225,300,600,300,375,150,225,450,750
2,2,150,225,300,600,300,375,150,225,450,750
3,3,150,225,300,600,300,375,150,225,450,750
4,4,225,375,450,787.5,375,450,150,262.5,600,900
5,5,225,375,450,787.5,375,450,150,262.5,600,900
6,6,225,375,450,787.5,375,450,150,262.5,600,900
7,7,225,375,450,787.5,375,450,150,262.5,600,900
8,8,225,375,450,787.5,375,450,150,262.5,600,900
9,9,262.5,450,675,937.5,435,465,225,300,750,1200
10,10,262.5,450,675,937.5,435,465,225,300,750,1200
11,11,262.5,450,675,937.5,435,465,225,300,750,1200
12,12,262.5,450,675,937.5,435,465,225,300,750,1200
13,13,262.5,450,675,937.5,435,465,225,300,750,1200
14,14,375,525,787.5,1012.5,435,465,262.5,337.5,900,1350
15,15,375,525,787.5,1012.5,435,465,262.5,337.5,900,1350
16,16,375,525,787.5,1012.5,435,465,262.5,337.5,900,1350
17,17,375,525,787.5,1012.5,435,465,262.5,337.5,900,1350
18,18,375,525,787.5,1012.5,435,465,262.5,337.5,900,1350
19,19,412.5,525,862.5,1012.5,435,465,262.5,337.5,1050,1350
20,20,412.5,525,862.5,1012.5,435,465,262.5,337.5,1050,1350
21,21,412.5,525,862.5,1012.5,435,465,262.5,337.5,1050,1350
22,22,412.5,525,862.5,1012.5,435,465,262.5,337.5,1050,1350
23,23,412.5,525,862.5,1012.5,435,465,262.5,337.5,1050,1350
24,24,412.5,525,862.5,1012.5,435,465,262.5,337.5,1050,1350
25,25,412.5,525,862.5,1012.5,435,465,262.5,337.5,1050,1350
26,26,412.5,525,862.5,1012.5,435,465,262.5,337.5,1050,1350
27,27,412.5,525,862.5,1012.5,435,465,262.5,337.5,1050,1350
28,28,412.5,525,862.5,1012.5,435,465,262.5,337.5,1050,1350
29,29,412.5,525,862.5,1012.5,435,465,262.5,337.5,1050,1350
30,30,412.5,525,862.5,1012.5,435,465,262.5,337.5,1050,1350
31,31,412.5,525,825,975,435,465,262.5,337.5,975,1275
32,32,412.5,525,825,975,435,465,262.5,337.5,975,1275
33,33,412.5,525,825,975,435,465,262.5,337.5,975,1275
34,34,412.5,525,825,975,435,465,262.5,337.5,975,1275
35,35,412.5,525,825,975,435,465,262.5,337.5,975,1275
36,36,412.5,525,825,975,435,465,262.5,337.5,975,1275
37,37,412.5,525,825,975,435,465,262.5,337.5,975,1275
38,38,412.5,525,825,975,435,465,262.5,337.5,975,1275
39,39,412.5,525,825,975,435,465,262.5,337.5,975,1275
40,40,412.5,525,825,975,435,465,262.5,337.5,975,1275
41,41,412.5,525,825,975,435,465,262.5,337.5,975,1275
42,42,412.5,525,825,975,435,465,262.5,337.5,975,1275
43,43,412.5,525,825,975,435,465,262.5,337.5,975,1275
44,44,412.5,525,825,975,435,465,262.5,337.5,975,1275
45,45,412.5,525,825,975,435,465,262.5,337.5,975,1275
46,46,412.5,525,825,975,435,465,262.5,337.5,975,1275
47,47,412.5,525,825,975,435,465,262.5,337.5,975,1275
48,48,412.5,525,825,975,435,465,262.5,337.5,975,1275
49,49,412.5,525,825,975,435,465,262.5,337.5,975,1275
50,50,412.5,525,825,975,435,465,262.5,337.5,975,1275
51,51,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
52,52,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
53,53,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
54,54,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
55,55,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
56,56,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
57,57,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
58,58,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
59,59,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
60,60,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
61,61,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
62,62,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
63,63,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
64,64,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
65,65,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
66,66,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
67,67,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
68,68,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
69,69,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
70,70,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
71,71,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
72,72,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
73,73,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
74,74,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
75,75,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
76,76,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
77,77,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
78,78,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
79,79,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
80,80,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
81,81,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
82,82,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
83,83,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
84,84,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
85,85,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
86,86,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
87,87,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
88,88,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
89,89,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
90,90,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
91,91,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
92,92,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
93,93,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
94,94,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
95,95,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
96,96,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
97,97,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
98,98,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
99,99,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
100,100,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
101,101,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
102,102,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
103,103,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
104,104,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
105,105,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
106,106,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
107,107,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
108,108,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
109,109,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
110,110,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
111,111,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
112,112,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
113,113,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
114,114,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
115,115,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
116,116,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
117,117,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
118,118,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
119,119,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
120,120,337.5,487.5,787.5,975,435,465,262.5,337.5,825,1275
